movie_id,title,genres,original_language,overview,production_companies,release_date,runtime,vote_average,vote_count,credits,keywords,poster_path
1,Avatar: The Way of Water,Science Fiction-Adventure-Action,en,Set more than a decade after the events of the first film learn the story of the Sully family (Jake Neytiri and their kids) the trouble that follows them the lengths they go to keep each other safe the battles they fight to stay alive and the tragedies they endure.,20th Century Studios-Lightstorm Entertainment,14-12-2022,192,7.751,6748,Sam Worthington-Zoe SaldaÃ±a-Sigourney Weaver-Stephen Lang-Kate Winslet-Cliff Curtis-Joel David Moore-CCH Pounder-Edie Falco-Jemaine Clement-Giovanni Ribisi-Britain Dalton-Jamie Flatters-Trinity Bliss-Jack Champion-Brendan Cowell-Bailey Bass-Filip Geljo-Duane Evans Jr.-Dileep Rao-Matt Gerald-Robert Okumu-Jennifer Stafford-Keston John-Kevin Dorman-Alicia Vela-Bailey-Sean Anthony Moran-Andrew Arrabito-Johnny Alexander-Kim Do-Victor T. Lopez-Maria Walker-Phil Brown-Jocelyn Christian-Joel Tobeck-Moana Ete-Phil Peleton-Jamie Landau-Jim Moore-Benjamin Hoetjes-Nikita Tu Bryant-Anthony Ahern-Shane Rangi-Rick Lucas-Tanya Drewery-Ava Diakhaby-Isaac Te Reina-Eric Farmer-Philip Mtambo-Daniel Lough-Cruz Moir-Alex Lucas-Scarlett Fernandez-Chloe Coleman-Jeremy Irwin-Jake McLean-CJ Jones,loss of loved one-dying and death-alien life-form-resurrection-sequel-dysfunctional family-alien planet-distant future-adopted child-rebirth-family dynamics-adopted son-stronger villain-war,https://image.tmdb.org/t/p/w500/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg
2,The Pope's Exorcist,Horror-Mystery-Thriller,en,Father Gabriele Amorth Chief Exorcist of the Vatican investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.,Screen Gems-2.0 Entertainment-Jesus & Mary-Worldwide Katz-Loyola Productions-FFILME.RO,05-04-2023,103,7.433,545,Russell Crowe-Daniel Zovatto-Alex Essoe-Franco Nero-Peter DeSouza-Feighoney-Laurel Marsden-Cornell John-Ryan O'Grady-Bianca Bardoe-Santi BayÃ³n-Paloma Bloyd-Alessandro Gruttadauria-River Hawkins-Jordi Collet-Carrie Munro-Marc Velasco-Edward Harper-Jones-Matthew Sim-Victor SolÃ©-Tom Bonington-Andrea Dugoni-Ed White-Laila Barwick-Gennaro Diana-Pablo Raybould-Ralph Ineson-Derek Carroll-Ella Cannon,spain-rome italy-vatican-pope-pig-possession-conspiracy-devil-exorcist-skepticism-catholic priest-1980s-supernatural horror,https://image.tmdb.org/t/p/w500/9JBEPLTPSm0d1mbEcLxULjJq9Eh.jpg
3,Shazam! Fury of the Gods,Action-Comedy-Fantasy,en,"Billy Batson and his foster siblings who transform into superheroes by saying ""Shazam!"" are forced to get back into action and fight the Daughters of Atlas who they must stop from using a weapon that could destroy the world.",New Line Cinema-The Safran Company-DC Films-Warner Bros. Pictures,15-03-2023,130,6.84,1355,Zachary Levi-Asher Angel-Jack Dylan Grazer-Adam Brody-Grace Caroline Currey-Helen Mirren-Lucy Liu-Rachel Zegler-Meagan Good-Faithe Herman-Ross Butler-Ian Chen-D.J. Cotrona-Jovan Armand-Djimon Hounsou-Cooper Andrews-Marta Milans-Rizwan Manji-Diedrich Bader-P.J. Byrne-David Lengel-Rick Andosca-Erica Frene-Lotta Losten-Natalia Safran-Hillary Harley-Lou Lou Safran-Patrick Reidy-Kelvin Hodge-Gal Gadot-Chloe Camp-Michael Gray-Carson MacCormac-Evan Marsh-Taylor Cahill-Wolf Blitzer-David F. Sandberg-Jennifer Holland-Steve Agee-Mark Strong,superhero-end of the world-super power-aftercreditsstinger-duringcreditsstinger-dc extended universe (dceu)-teenager,https://image.tmdb.org/t/p/w500/2VK4d3mqqTc7LVZLnLPeRiPaJ71.jpg
4,The Super Mario Bros. Movie,Animation-Adventure-Family-Fantasy-Comedy,en,While working underground to fix a water main Brooklyn plumbersâ€”and brothersâ€”Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated Mario embarks on an epic quest to find Luigi.,Universal Pictures-Illumination-Nintendo,05-04-2023,92,7.556,332,Chris Pratt-Anya Taylor-Joy-Charlie Day-Jack Black-Keegan-Michael Key-Seth Rogen-Fred Armisen-Kevin Michael Richardson-Sebastian Maniscalco-Khary Payton-Eric Bauza-Jessica DiCicco-Jeannie Elias-Juliet Jelenic-Rino Romano-John DiMaggio-Scott Menville-Charles Martinet-Jason Broad-Carlos Alazraqui-Ashly Burch-Rachel Butera-Cathy Cavadini-Will Collyer-Django Craig-Willow Geer-Aaron Hendry-Andy Hirsch-Barbara Lley-Phil LaMarr-Jeremy Maxwell-Daniel Mora-Eric Osmond-Noreen Reardon-Lee Shorten-Cree Summer-Nisa Ward-Nora Wyman,video game-plumber-magic mushroom-based on video game-aftercreditsstinger-duringcreditsstinger-damsel in distress-brother brother relationship,https://image.tmdb.org/t/p/w500/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg
5,Ant-Man and the Wasp: Quantumania,Action-Adventure-Science Fiction,en,Super-Hero partners Scott Lang and Hope van Dyne along with with Hope's parents Janet van Dyne and Hank Pym and Scott's daughter Cassie Lang find themselves exploring the Quantum Realm interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.,Marvel Studios-Kevin Feige Productions,15-02-2023,125,6.448,1547,Paul Rudd-Evangeline Lilly-Jonathan Majors-Kathryn Newton-Michelle Pfeiffer-Michael Douglas-Corey Stoll-Bill Murray-William Jackson Harper-David Dastmalchian-Jamie Andrew Cutler-Katy O'Brian-Mark Weinman-Randall Park-Ross Mullan-Tom Clark-Leon Cooke-Nathan Blees-Durassie Kiangangu-Liran Nathan-Sam Symons-Grahame Fox-Nicola Peluso-Harrison Daniels-Brahmdeo Shannon Ramana-Russell Balogh-Leonardo Taiwo-Osian Roberts-Lucas Gerstel-Mia Gerstel-Tracy Jeffrey-Dinah Jeffrey-Judy Jeffrey-John Nayagam-Greta Nayagam-Cathy Chan-Adam Sai-Jamie Sai-Jakari Fraser-Patricia Belcher-Mark Oliver Everett-Ruben Rabasa-Melanie Garcia-Gregg Turkington-Sierra Katow-Ryan Bergara-Marielle Scott-Jake Millgard-Dey Young-Briza Covarrubias-Tess Aubert-David J. Castillo-Sir Cornwell-Alan Heitz-Esther McAuley-Aisling Maria Andreica-Milton Lopes-Roger Craig Smith-Matthew Wood-Loveday Smith-John Townsend-Tom Hiddleston-Owen Wilson-Abby Ryder Fortson,hero-ant-sequel-superhero-based on comic-family-superhero team-aftercreditsstinger-duringcreditsstinger-marvel cinematic universe (mcu),https://image.tmdb.org/t/p/w500/ngl2FKBlU4fhbdsrtdom9LVLBXw.jpg
6,Creed III,Drama-Action,en,After dominating the boxing world Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy Damien Anderson resurfaces after serving a long sentence in prison he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score Adonis must put his future on the line to battle Damien â€” a fighter who has nothing to lose.,Metro-Goldwyn-Mayer-Proximity Media-Balboa Productions-Outlier Society Productions-Chartoff-Winkler Productions,01-03-2023,116,7.262,1129,Michael B. Jordan-Tessa Thompson-Jonathan Majors-Wood Harris-Phylicia RashÄd-Mila Davis-Kent-JosÃ© Benavidez Jr.-Selenis Leyva-Florian Munteanu-Thaddeus J. Mixson-Spence Moore II-Tony Bellew-Patrice Harris-Ann Najjar-Jacob 'Stitch' Duran-Terence Crawford-Bobby Hernandez-Yahya McClain-Lamont Lankford-Corey Calliet-Kenny Bayless-Todd Grisham-Jessica McCaskill-Maya Page-Jimmy Lennon Jr.-Russell Mora-Al Bernstein-Mauro Ranallo-Brianna Valeria Gonzalez Vazquez-Shayra Medal-Kimberly Dawn Davis-David Diamante-Tony Weeks-Chris Mannix-Andreia Gibau-Soraya Yd-Stephen A. Smith-Barry Pepper-Jessica Holmes-Canelo Ãlvarez-Fernanda Gomez-Kehlani-Jeremy Lee Stone-Aaron D. Alexander-Brian Neal-Corey Hibbert-James Harden-Jove Edmond-Engle Files-Michael A. Jordan-Natasha Ofili-Rose Eshay-Alan Boell-Eli Joshua AdÃ©-Butch Locsin-Stefni Valencia-Bella Dee-Anastasia Wilson-Beth Scherr-Michelle Davidson-Leah Haile-TeÃ³fimo LÃ³pez-Pete Penuel,philadelphia pennsylvania-husband wife relationship-deaf-sports-sequel-orphan-former best friend-ex-con-childhood friends-juvenile detention center-boxing-prodigy,https://image.tmdb.org/t/p/w500/cvsXj3I9Q2iyyIo95AecSd1tad7.jpg
7,Knock at the Cabin,Horror-Mystery-Thriller,en,While vacationing at a remote cabin a young girl and her two fathers are taken hostage by four armed strangers who demand that the family make an unthinkable choice to avert the apocalypse. With limited access to the outside world the family must decide what they believe before all is lost.,Blinding Edge Pictures-Universal Pictures-FilmNation Entertainment-Wishmore-Perfect World Pictures,01-02-2023,100,6.457,888,Dave Bautista-Jonathan Groff-Ben Aldridge-Kristen Cui-Nikki Amuka-Bird-Rupert Grint-Abby Quinn-Clare Louise Frost-McKenna Kerrigan-Odera Adimorah-M. Night Shyamalan-Ian Merrill Peakes-Denise Nakano-Rose Luardo-Billy Vargus-Satomi Hofmann-Kelvin Leung-Lee Avant-Katy Murphy-Kittson O'Neill-Lya Yanne-Hanna Gaffney-Monica Fleurette-Saria Chen,based on novel or book-sacrifice-cabin-faith-end of the world-apocalypse-home invasion-lgbt-aftercreditsstinger-adopted child-adopted daughter-shot on film-gay-same sex relationship-religious symbolism,https://image.tmdb.org/t/p/w500/dm06L9pxDOL9jNSK4Cb6y139rrG.jpg
8,Guardians of the Galaxy Volume 3,Science Fiction-Adventure-Action,en,Peter Quill still reeling from the loss of Gamora must rally his team around him to defend the universe along with protecting one of their own. A mission that if not completed successfully could quite possibly lead to the end of the Guardians as we know them.,Marvel Studios-Kevin Feige Productions,03-05-2023,150,8.3,568,Chris Pratt-Zoe SaldaÃ±a-Bradley Cooper-Dave Bautista-Karen Gillan-Pom Klementieff-Vin Diesel-Sean Gunn-Chukwudi Iwuji-Will Poulter-Maria Bakalova-Elizabeth Debicki-Sylvester Stallone-Austin Freeman-Stephen Blackehart-Terence Rosemore-Sarah Alami-Jasmine Sunshine Munoz-Giovannie Cruz-Nico Santos-Miriam Shor-Noa Raskin-Linda Cardellini-Asim Chaudhry-Mikaela Hoover-Judy Greer-Reinaldo Faberlle-Tara Strong-Jared Leland Gore-Michael Rosenbaum-Elan Gale-Molly C. Quinn-Gerardo Davila-Dee Bradley Baker-Hanna Pak-Jennifer Holland-Nathan Fillion-Kyle Mclean-Benjamin Byron Davis-Tiffany Smith-Joe Daru-Daniela Melchior-Jonathan Mercedes-Jonathan Fritschi-Diego Ward-Max Bickelhaup-Brandon Morales-Renae Moneymaker-Alexis Hadesty-Tara Warren-Candi VandiZandi-Grecia Balboa-Caleb Spillyards-Darla Delgado-Michelle Civile-Ken Lyle-Elodie Clarke-John William Wright-Autumn Griffin-Skylar Huntley-Randy Havens-Dane DiLiegro-Kai Zen-Sarah Anne-Yael Ocasio-Adelynn Spoon-Henry Heffernan-Brooklyn Skye Oliver-Scarlett Blum-Baby Dro-Emery Grilliot-Amelia Waters-Lloyd Kaufman-Christopher Fairbank-Rhett Miller-Natalia Safran-Murphy Weed-Michael Rooker-James Gunn-Jessica Fontaine-Karen Abercrombie-Gregg Henry-Adriana Leonard-Bonnie Discepolo-Clare Grant-Grace Gunn-Will Gunn-Seth Green-Pete Davidson,hero-sequel-superhero-based on comic-superhero team-space opera-raccoon-aftercreditsstinger-marvel cinematic universe (mcu)-chosen family,https://image.tmdb.org/t/p/w500/r2J02Z2OpNTctfOSN1Ydgii51I3.jpg
9,Plane,Action-Adventure-Thriller,en,After a heroic job of successfully landing his storm-damaged aircraft in a war zone a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage.,MadRiver Pictures-Di Bonaventura Pictures-G-BASE-Olive Hill Media-Riverstone Pictures,12-01-2023,107,6.901,785,Gerard Butler-Mike Colter-Yoson An-Tony Goldwyn-Daniella Pineda-Paul Ben-Victor-Remi Adeleke-Joey Slotnick-Evan Dane Taylor-Claro de los Reyes-Kelly Gale-Haleigh Hekking-Lilly Krug-Oliver Trevena-Tara Westwood-Mark Labella-Quinn McPherson-Kate Rachesky-Amber Rivera-Otis Winston-Modesto Lacen-Jeff Francisco-Jeffrey Holsman-Ariel Felix-Rose Eshay-Jessica Nam-Thomas A. Curran-Ricky Robles Cruz-Matthew ValeÃ±a-Natalia RomÃ¡n GarcÃ­a-Ãngel FabiÃ¡n Rivera-Heather Seiffert-Kate Bisset,pilot-airplane-philippines-held hostage-plane crash,https://image.tmdb.org/t/p/w500/qi9r5xBgcc9KTxlOLjssEbDgO0J.jpg
10,Black Panther: Wakanda Forever,Action-Adventure-Science Fiction,en,Queen Ramonda Shuri Mâ€™Baku Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King Tâ€™Challaâ€™s death.  As the Wakandans strive to embrace their next chapter the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.,Marvel Studios,09-11-2022,162,7.338,3922,Letitia Wright-Lupita Nyong'o-Danai Gurira-Winston Duke-Dominique Thorne-Tenoch Huerta MejÃ­a-Angela Bassett-Florence Kasumba-Michaela Coel-Mabel Cadena-Lake Bell-Alex Livinalli-Robert John Burke-Danny Sapani-Isaach De BankolÃ©-Connie Chiume-Martin Freeman-Julia Louis-Dreyfus-Richard Schiff-Michael B. Jordan-Dorothy Steel-Zainab Jah-Sope Aluko-Trevor Noah-Shawn Roberts-Zola Williams-Janeshia Adams-Ginyard-Jemini Powell-Marija Abney-Keisha Tucker-Ivy Haralson-Maya Macatumpag-Baaba Maal-Jabari Exum-Massamba Diop-Magatte Saw-Gerardo Aldana-Gigi Bermingham-Rudolph Massanga-Judd Wild-Amber Harrington-Michael Blake Kruse-Justin James Boykin-Anderson Cooper-Mackenro Alexander-Kamaru Usman-T. Love-Floyd Anthony Johns Jr.-Jermaine Brantley-Granger Summerset II-Luke Lenza-Alan Wells-Bill Barrett-Lieiry J. Perez Escalera-Sevyn Hill-Gavin Macon-Skylar Ebron-Taylor Holmes-Angela Cipra-Faya Madrid-MarÃ­a TelÃ³n-MarÃ­a Mercedes Coroy-JosuÃ© Maychi-Sal Lopez-Irma Estella La Guerre-Manuel Chavez-Leonardo Castro-Juan Carlos Cantu-Shawntae Hughes-Corey Hibbert-Zaiden James-Aba Arthur-DÃ©lÃ© Ogundiran-Kevin Changaris-Valerio Dorvillen-Don Castor-Jonathan GonzÃ¡lez Collins-Divine Love Konadu-Sun-Chadwick Boseman-Anderson Cooper,loss of loved one-hero-sequel-superhero-based on comic-mourning-death of brother-duringcreditsstinger-death of king-marvel cinematic universe (mcu)-hidden civilization,https://image.tmdb.org/t/p/w500/sv1xJUazXeYqALzczSZ3O6nkH75.jpg
